"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Diabetes - number of reported confirmed cases","Published","1980","Americas","United States of America","493","","","",""
"Diabetes - number of reported confirmed cases","Published","1981","Americas","United States of America","557","","","",""
"Diabetes - number of reported confirmed cases","Published","1982","Americas","United States of America","595","","","",""
"Diabetes - number of reported confirmed cases","Published","1983","Americas","United States of America","628","","","",""
"Diabetes - number of reported confirmed cases","Published","1984","Americas","United States of America","611","","","",""
"Diabetes - number of reported confirmed cases","Published","1985","Americas","United States of America","564","","","",""
"Diabetes - number of reported confirmed cases","Published","1986","Americas","United States of America","578","","","",""
"Diabetes - number of reported confirmed cases","Published","1987","Americas","United States of America","574","","","",""
"Diabetes - number of reported confirmed cases","Published","1988","Americas","United States of America","635","","","",""
"Diabetes - number of reported confirmed cases","Published","1989","Americas","United States of America","591","","","",""
"Diabetes - number of reported confirmed cases","Published","1990","Americas","United States of America","573","","","",""
"Diabetes - number of reported confirmed cases","Published","1991","Americas","United States of America","682","","","",""
"Diabetes - number of reported confirmed cases","Published","1992","Americas","United States of America","752","","","",""
"Diabetes - number of reported confirmed cases","Published","1993","Americas","United States of America","838","","","",""
"Diabetes - number of reported confirmed cases","Published","1994","Americas","United States of America","796","","","",""
"Diabetes - number of reported confirmed cases","Published","1995","Americas","United States of America","799","","","",""
"Diabetes - number of reported confirmed cases","Published","1996","Americas","United States of America","813","","","",""
"Diabetes - number of reported confirmed cases","Published","1997","Americas","United States of America","921","","","",""
"Diabetes - number of reported confirmed cases","Published","1998","Americas","United States of America","979","","","",""
"Diabetes - number of reported confirmed cases","Published","1999","Americas","United States of America","1104","","","",""
"Diabetes - number of reported confirmed cases","Published","2000","Americas","United States of America","1213","","","",""
"Diabetes - number of reported confirmed cases","Published","2001","Americas","United States of America","1304","","","",""
"Diabetes - number of reported confirmed cases","Published","2002","Americas","United States of America","1349","","","",""
"Diabetes - number of reported confirmed cases","Published","2003","Americas","United States of America","1403","","","",""
"Diabetes - number of reported confirmed cases","Published","2004","Americas","United States of America","1468","","","",""
"Diabetes - number of reported confirmed cases","Published","2005","Americas","United States of America","1528","","","",""
"Diabetes - number of reported confirmed cases","Published","2006","Americas","United States of America","1605","","","",""
"Diabetes - number of reported confirmed cases","Published","2007","Americas","United States of America","1728","","","",""
"Diabetes - number of reported confirmed cases","Published","2008","Americas","United States of America","1732","","","",""
"Diabetes - number of reported confirmed cases","Published","2009","Americas","United States of America","1678","","","",""
"Diabetes - number of reported confirmed cases","Published","2010","Americas","United States of America","1568","","","",""
